nconst,first,last,Rank,category,MOVIE1,MOVIE2,MOVIE3,MOVIE4,MOVIE5
nm1121126,Rachel,Morrison,1,CINEMATOGRAPHY,Black Panther,,,,
nm2617994,Lukasz,Zal,1,CINEMATOGRAPHY,Cold War,,,,
nm0761874,Linus,Sandgren,1,CINEMATOGRAPHY,First Man,The Nutcracker and the Four Realms,,,
nm1831620,Sean,Porter,1,CINEMATOGRAPHY,Green Book,,,,
nm1850507,Pawel,Pogorzelski,1,CINEMATOGRAPHY,Hereditary,,,,
nm0493439,James,Laxton,1,CINEMATOGRAPHY,If Beale Street Could Talk,,,,
nm0005836,Dick,Pope,1,CINEMATOGRAPHY,Peterloo,,,,
nm4551302,Juan Sebastian,Baron,1,CINEMATOGRAPHY,Searching,,,,
nm0752811,Robbie,Ryan,1,CINEMATOGRAPHY,The Favourite,,,,
nm0824470,Eric,Steelberg,1,CINEMATOGRAPHY,Tully,The Front Runner,,,
nm0190859,Alfonso,Cuarón,1,CINEMATOGRAPHY;DIRECTOR;EDITOR;SCREENPLAY,Roma,,,,
nm4148345,Will,Merrick,1,CINEMATOGRAPHY;EDITOR,Searching,,,,
nm4946908,Nicholas D.,Johnson,1,CINEMATOGRAPHY;EDITOR,Searching,,,,
nm0141921,Ruth E.,Carter,1,COSTUME DESIGN,Black Panther,,,,
nm7754645,Marci,Rodgers,1,COSTUME DESIGN,BlacKkKlansman,,,,
nm0206457,Julian,Day,1,COSTUME DESIGN,Bohemian Rhapsody,Terminal,Robin Hood,,
nm0064746,Jenny,Beavan,1,COSTUME DESIGN,Christopher Robin,The Nutcracker and the Four Realms,,,
nm0281893,Andrea,Flesch,1,COSTUME DESIGN,Colette,,,,
nm0901095,Mary E.,Vogt,1,COSTUME DESIGN,Crazy Rich Asians,,,,
nm0041181,Colleen,Atwood,1,COSTUME DESIGN,Fantastic Beasts: The Crimes of Grindelwald,The Cloverfield Paradox,Tomb Raider,,
nm0694309,Sandy,Powell,1,COSTUME DESIGN,Mary Poppins Returns,The Favourite,,,
nm0126107,Alexandra,Byrne,1,COSTUME DESIGN,Mary Queen of Scots,,,,
nm0244330,Jacqueline,Durran,1,COSTUME DESIGN,Peterloo,Mary Magdalene,,,
nm0322786,Danny,Glicker,1,COSTUME DESIGN,The Front Runner,Serenity,Bad Times at the El Royale,Don't Worry He Won't Get Far on Foot,
nm1000803,Caroline,Eselin,1,COSTUME DESIGN,Under the Silver Lake,If Beale Street Could Talk,,,
nm1716636,Marielle,Heller,1,DIRECTOR,Can You Ever Forgive Me?,,,,
nm0476201,Karyn,Kusama,1,DIRECTOR,Destroyer,,,,
nm3227090,Damien,Chazelle,1,DIRECTOR,First Man,,,,
nm6066050,Josie,Rourke,1,DIRECTOR,Mary Queen of Scots,,,,
nm0001460,Mimi,Leder,1,DIRECTOR,On the Basis of Sex,,,,
nm0487166,Yorgos,Lanthimos,1,DIRECTOR,The Favourite,,,,
nm0773603,Julian,Schnabel,1,DIRECTOR;EDITOR;SCREENPLAY,At Eternity's Gate,,,,
nm0000080,Orson,Welles,1,DIRECTOR;EDITOR;SCREENPLAY,The Other Side of the Wind,,,,
nm1108556,Boots,Riley,1,DIRECTOR;SCORE;SCREENPLAY,Sorry to Bother You,,,,
nm0339030,Paul,Greengrass,1,DIRECTOR;SCREENPLAY,22 July,,,,
nm0886976,Felix Van,Groeningen,1,DIRECTOR;SCREENPLAY,Beautiful Boy,,,,
nm3363032,Ryan,Coogler,1,DIRECTOR;SCREENPLAY,Black Panther,,,,
nm0000490,Spike,Lee,1,DIRECTOR;SCREENPLAY,BlacKkKlansman,,,,
nm0392237,Nicole,Holofcener,1,DIRECTOR;SCREENPLAY,Can You Ever Forgive Me?,The Land of Steady Habits,,,
nm3102998,Bo,Burnham,1,DIRECTOR;SCREENPLAY,Eighth Grade,,,,
nm1410815,Asghar,Farhadi,1,DIRECTOR;SCREENPLAY,Everybody Knows,,,,
nm0001707,Paul,Schrader,1,DIRECTOR;SCREENPLAY,First Reformed,,,,
nm0268380,Peter,Farrelly,1,DIRECTOR;SCREENPLAY,Green Book,,,,
nm4170048,Ari,Aster,1,DIRECTOR;SCREENPLAY,Hereditary,,,,
nm1503575,Barry,Jenkins,1,DIRECTOR;SCREENPLAY,If Beale Street Could Talk,,,,
nm0083348,Brad,Bird,1,DIRECTOR;SCREENPLAY,Incredibles 2,,,,
nm0027572,Wes,Anderson,1,DIRECTOR;SCREENPLAY,Isle of Dogs,,,,
nm0335138,Debra,Granik,1,DIRECTOR;SCREENPLAY,Leave No Trace,,,,
nm0420982,Tamara,Jenkins,1,DIRECTOR;SCREENPLAY,Private Life,Juliet Naked,,,
nm0406334,Armando,Iannucci,1,DIRECTOR;SCREENPLAY,The Death of Stalin,,,,
nm1108007,David,Lowery,1,DIRECTOR;SCREENPLAY,The Old Man & the Gun,,,,
nm0002191,Jacques,Audiard,1,DIRECTOR;SCREENPLAY,The Sisters Brothers,,,,
nm0570912,Adam,McKay,1,DIRECTOR;SCREENPLAY,Vice,,,,
nm0000709,Robert,Zemeckis,1,DIRECTOR;SCREENPLAY,Welcome to Marwen,,,,
nm2588606,Steve,McQueen,1,DIRECTOR;SCREENPLAY,Widows,,,,
nm0200452,Paul,Dano,1,DIRECTOR;SCREENPLAY,Wildlife,,,,
nm0708903,Lynne,Ramsay,1,DIRECTOR;SCREENPLAY,You Were Never Really Here,,,,
nm1024677,John,Krasinski,1,DIRECTOR;SCREENPLAY;ACTOR,A Quiet Place,Animal Crackers,Next Gen,,
nm0177896,Bradley,Cooper,1,DIRECTOR;SCREENPLAY;ACTOR,A Star Is Born,Avengers: Infinity War,The Mule,,
nm0249291,Joel,Edgerton,1,DIRECTOR;SCREENPLAY;ACTOR,Boy Erased,Red Sparrow,Gringo,,
nm0000160,Ethan,Hawke,1,DIRECTOR;SCREENPLAY;ACTOR,First Reformed,Juliet Naked,Blaze,,
,,,1,DOCUMENTARY,Crime + Punishment,,,,
,,,1,DOCUMENTARY,Fahrenheit 11/9,,,,
,,,1,DOCUMENTARY,Free Solo,,,,
,,,1,DOCUMENTARY,"Hale County: This Morning, This Evening",,,,
,,,1,DOCUMENTARY,Jane Fonda in Five Acts,,,,
,,,1,DOCUMENTARY,Minding the Gap,,,,
,,,1,DOCUMENTARY,On Her Shoulders,,,,
,,,1,DOCUMENTARY,Pope Francis: A Man of His Word,,,,
,,,1,DOCUMENTARY,Quincy,,,,
,,,1,DOCUMENTARY,RBG,,,,
,,,1,DOCUMENTARY,Reversing Roe,,,,
,,,1,DOCUMENTARY,The Sentence,,,,
,,,1,DOCUMENTARY,Three Identical Strangers,,,,
