FIRST,LAST,Total Points,STATUS,Position,Movie1,Movie2,Movie3,Movie4
Jason,Reitman,0,Free Agent,DIRECTOR SCREENPLAY,The Front Runner,Tully,,
Wash,Westmoreland,0,Free Agent,DIRECTOR SCREENPLAY,Colette,,,
Robert,Zemeckis,0,Free Agent,DIRECTOR SCREENPLAY,Welcome to Marwen,,,
Chloe,Zhao,0,Free Agent,DIRECTOR SCREENPLAY,The Rider,,,
DOCUMENTARY,24 Frames,0,Free Agent,DOCUMENTARY,24 Frames,,,
DOCUMENTARY,306 Hollywood,0,Free Agent,DOCUMENTARY,306 Hollywood,,,
DOCUMENTARY,40 Years in the Making: The Magic Music Movie,0,Free Agent,DOCUMENTARY,40 Years in the Making: The Magic Music Movie,,,
DOCUMENTARY,78/52: Hitchcock's Shower Scene,0,Free Agent,DOCUMENTARY,78/52: Hitchcock's Shower Scene,,,
DOCUMENTARY,93Queen,0,Free Agent,DOCUMENTARY,93Queen,,,
DOCUMENTARY,A Woman Captured,0,Free Agent,DOCUMENTARY,A Woman Captured,,,
DOCUMENTARY,Above and Beyond: NASA’s Journey to Tomorrow,0,Free Agent,DOCUMENTARY,Above and Beyond: NASA’s Journey to Tomorrow,,,
DOCUMENTARY,Active Measures,0,Free Agent,DOCUMENTARY,Active Measures,,,
DOCUMENTARY,Amazing Grace,0,Free Agent,DOCUMENTARY,Amazing Grace,,,
DOCUMENTARY,American Chaos,0,Free Agent,DOCUMENTARY,American Chaos,,,
DOCUMENTARY,Andre the Giant,0,Free Agent,DOCUMENTARY,Andre the Giant,,,
DOCUMENTARY,Andy Irons: Kissed by God,0,Free Agent,DOCUMENTARY,Andy Irons: Kissed by God,,,
DOCUMENTARY,Angels Are Made of Light,0,Free Agent,DOCUMENTARY,Angels Are Made of Light,,,
DOCUMENTARY,Antonio Lopez 1970: Sex Fashion & Disco,0,Free Agent,DOCUMENTARY,Antonio Lopez 1970: Sex Fashion & Disco,,,
DOCUMENTARY,Avicii: True Stories,0,Free Agent,DOCUMENTARY,Avicii: True Stories,,,
DOCUMENTARY,Bad Reputation,0,Free Agent,DOCUMENTARY,Bad Reputation,,,
DOCUMENTARY,Bali: Beats of Paradise,0,Free Agent,DOCUMENTARY,Bali: Beats of Paradise,,,
DOCUMENTARY,Bathtubs Over Broadway,0,Free Agent,DOCUMENTARY,Bathtubs Over Broadway,,,
DOCUMENTARY,Be Natural: The Untold Story of Alice Guy-Blache,0,Free Agent,DOCUMENTARY,Be Natural: The Untold Story of Alice Guy-Blache,,,
DOCUMENTARY,Being Serena,0,Free Agent,DOCUMENTARY,Being Serena,,,
DOCUMENTARY,Better Angels,0,Free Agent,DOCUMENTARY,Better Angels,,,
DOCUMENTARY,Bill Coors: The Will to Live,0,Free Agent,DOCUMENTARY,Bill Coors: The Will to Live,,,
DOCUMENTARY,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,0,Free Agent,DOCUMENTARY,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,,,
DOCUMENTARY,Breaking Point: The War for Democracy in Ukraine,0,Free Agent,DOCUMENTARY,Breaking Point: The War for Democracy in Ukraine,,,
DOCUMENTARY,Call Her Ganda,0,Free Agent,DOCUMENTARY,Call Her Ganda,,,
DOCUMENTARY,Central Airport THF,0,Free Agent,DOCUMENTARY,Central Airport THF,,,
DOCUMENTARY,Charm City,0,Free Agent,DOCUMENTARY,Charm City,,,
DOCUMENTARY,Chef Flynn,0,Free Agent,DOCUMENTARY,Chef Flynn,,,
DOCUMENTARY,Chi-Town,0,Free Agent,DOCUMENTARY,Chi-Town,,,
DOCUMENTARY,Chris the Swiss,0,Free Agent,DOCUMENTARY,Chris the Swiss,,,
DOCUMENTARY,Christian Audigier the Vif,0,Free Agent,DOCUMENTARY,Christian Audigier the Vif,,,
DOCUMENTARY,Cielo,0,Free Agent,DOCUMENTARY,Cielo,,,
DOCUMENTARY,Communion,0,Free Agent,DOCUMENTARY,Communion,,,
DOCUMENTARY,Crime + Punishment,0,Free Agent,DOCUMENTARY,Crime + Punishment,,,
DOCUMENTARY,Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleader,0,Free Agent,DOCUMENTARY,Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleader,,,
DOCUMENTARY,David Bowie: The Last Five Years,0,Free Agent,DOCUMENTARY,David Bowie: The Last Five Years,,,
DOCUMENTARY,Dead Souls,0,Free Agent,DOCUMENTARY,Dead Souls,,,
DOCUMENTARY,Dirty Money,0,Free Agent,DOCUMENTARY,Dirty Money,,,
DOCUMENTARY,Divide and Conquer: The Story of Roger Ailes,0,Free Agent,DOCUMENTARY,Divide and Conquer: The Story of Roger Ailes,,,
DOCUMENTARY,Drug$,0,Free Agent,DOCUMENTARY,Drug$,,,
DOCUMENTARY,Eating Animals,0,Free Agent,DOCUMENTARY,Eating Animals,,,
DOCUMENTARY,Elvis Presley: The Searcher,0,Free Agent,DOCUMENTARY,Elvis Presley: The Searcher,,,
DOCUMENTARY,Evil Genius,0,Free Agent,DOCUMENTARY,Evil Genius,,,
DOCUMENTARY,Fahrenheit 11/9,0,Free Agent,DOCUMENTARY,Fahrenheit 11/9,,,
DOCUMENTARY,Fail State,0,Free Agent,DOCUMENTARY,Fail State,,,
DOCUMENTARY,Family in Transition,0,Free Agent,DOCUMENTARY,Family in Transition,,,
DOCUMENTARY,Far From the Tree,0,Free Agent,DOCUMENTARY,Far From the Tree,,,
DOCUMENTARY,Filmworker,0,Free Agent,DOCUMENTARY,Filmworker,,,
DOCUMENTARY,Flint Town,0,Free Agent,DOCUMENTARY,Flint Town,,,
DOCUMENTARY,Foreign Land,0,Free Agent,DOCUMENTARY,Foreign Land,,,
DOCUMENTARY,Garry Winograd: All Things Are Photographable,0,Free Agent,DOCUMENTARY,Garry Winograd: All Things Are Photographable,,,
DOCUMENTARY,Generation Wealth,0,Free Agent,DOCUMENTARY,Generation Wealth,,,
DOCUMENTARY,Ghosthunter,0,Free Agent,DOCUMENTARY,Ghosthunter,,,
DOCUMENTARY,Grace Jones: Bloodlight and Bami,0,Free Agent,DOCUMENTARY,Grace Jones: Bloodlight and Bami,,,
DOCUMENTARY,Hal,0,Free Agent,DOCUMENTARY,Hal,,,
DOCUMENTARY,Hale County: This Morning This Evening,0,Free Agent,DOCUMENTARY,Hale County: This Morning This Evening,,,
DOCUMENTARY,Half the Picture,0,Free Agent,DOCUMENTARY,Half the Picture,,,
DOCUMENTARY,Hillbilly,0,Free Agent,DOCUMENTARY,Hillbilly,,,
DOCUMENTARY,Hitler's Hollywood,0,Free Agent,DOCUMENTARY,Hitler's Hollywood,,,
DOCUMENTARY,Hondros,0,Free Agent,DOCUMENTARY,Hondros,,,
DOCUMENTARY,Howard,0,Free Agent,DOCUMENTARY,Howard,,,
DOCUMENTARY,I Am Evidence,0,Free Agent,DOCUMENTARY,I Am Evidence,,,
DOCUMENTARY,In Search of Greatness,0,Free Agent,DOCUMENTARY,In Search of Greatness,,,
DOCUMENTARY,In the Intense Now,0,Free Agent,DOCUMENTARY,In the Intense Now,,,
DOCUMENTARY,In the Land of Pomegranates,0,Free Agent,DOCUMENTARY,In the Land of Pomegranates,,,
DOCUMENTARY,Inmate #1: The Rise of Danny Trejo,0,Free Agent,DOCUMENTARY,Inmate #1: The Rise of Danny Trejo,,,
DOCUMENTARY,Inventing Tomorrow,0,Free Agent,DOCUMENTARY,Inventing Tomorrow,,,
DOCUMENTARY,Invisible Hands,0,Free Agent,DOCUMENTARY,Invisible Hands,,,
DOCUMENTARY,Itzhak,0,Free Agent,DOCUMENTARY,Itzhak,,,
DOCUMENTARY,Jane Fonda in Five Acts,0,Free Agent,DOCUMENTARY,Jane Fonda in Five Acts,,,
DOCUMENTARY,John McCain: For Whom the Bell Tolls,0,Free Agent,DOCUMENTARY,John McCain: For Whom the Bell Tolls,,,
DOCUMENTARY,John McEnroe: In the Realm of Perfection,0,Free Agent,DOCUMENTARY,John McEnroe: In the Realm of Perfection,,,
DOCUMENTARY,Kangaroo: A Love Hate Story,0,Free Agent,DOCUMENTARY,Kangaroo: A Love Hate Story,,,
DOCUMENTARY,Killer Bees,0,Free Agent,DOCUMENTARY,Killer Bees,,,
DOCUMENTARY,King in the Wilderness,0,Free Agent,DOCUMENTARY,King in the Wilderness,,,
DOCUMENTARY,Kusama - Infinity,0,Free Agent,DOCUMENTARY,Kusama - Infinity,,,
DOCUMENTARY,Ladies First,0,Free Agent,DOCUMENTARY,Ladies First,,,
DOCUMENTARY,Leaning Into the Wind: Andy Goldsworthy,0,Free Agent,DOCUMENTARY,Leaning Into the Wind: Andy Goldsworthy,,,
DOCUMENTARY,Letter From Masanjia,0,Free Agent,DOCUMENTARY,Letter From Masanjia,,,
DOCUMENTARY,Licu A Romanian Story,0,Free Agent,DOCUMENTARY,Licu A Romanian Story,,,
DOCUMENTARY,Living in the Future’s Past,0,Free Agent,DOCUMENTARY,Living in the Future’s Past,,,
DOCUMENTARY,Liyana,0,Free Agent,DOCUMENTARY,Liyana,,,
DOCUMENTARY,Lots of Kids a Monkey and a Castle,0,Free Agent,DOCUMENTARY,Lots of Kids a Monkey and a Castle,,,
DOCUMENTARY,Love & Bananas: An Elephant Story,0,Free Agent,DOCUMENTARY,Love & Bananas: An Elephant Story,,,
DOCUMENTARY,Love Cecil,0,Free Agent,DOCUMENTARY,Love Cecil,,,
DOCUMENTARY,Love Gilda,0,Free Agent,DOCUMENTARY,Love Gilda,,,
DOCUMENTARY,Love Is Tolerance – Tolerance Is Love – Make Tolerance Great Again,0,Free Agent,DOCUMENTARY,Love Is Tolerance – Tolerance Is Love – Make Tolerance Great Again,,,
DOCUMENTARY,Lynyrd Skynyrd: If I Leave Here Tomorrow,0,Free Agent,DOCUMENTARY,Lynyrd Skynyrd: If I Leave Here Tomorrow,,,
DOCUMENTARY,Maiden,0,Free Agent,DOCUMENTARY,Maiden,,,
DOCUMENTARY,Making the Five Heartbeats,0,Free Agent,DOCUMENTARY,Making the Five Heartbeats,,,
DOCUMENTARY,Maria by Callas,0,Free Agent,DOCUMENTARY,Maria by Callas,,,
DOCUMENTARY,Matangi/Maya/M.I.A.,0,Free Agent,DOCUMENTARY,Matangi/Maya/M.I.A.,,,
DOCUMENTARY,McQueen,0,Free Agent,DOCUMENTARY,McQueen,,,
DOCUMENTARY,Meeting Gorbachev,0,Free Agent,DOCUMENTARY,Meeting Gorbachev,,,
DOCUMENTARY,Mercury 13,0,Free Agent,DOCUMENTARY,Mercury 13,,,
DOCUMENTARY,Monrovia Indiana,0,Free Agent,DOCUMENTARY,Monrovia Indiana,,,
DOCUMENTARY,Never-Ending Man: Hayao Miyazaki,0,Free Agent,DOCUMENTARY,Never-Ending Man: Hayao Miyazaki,,,
DOCUMENTARY,New Moon,0,Free Agent,DOCUMENTARY,New Moon,,,
DOCUMENTARY,Nossa Chape,0,Free Agent,DOCUMENTARY,Nossa Chape,,,
DOCUMENTARY,Of Fathers and Sons,0,Free Agent,DOCUMENTARY,Of Fathers and Sons,,,
DOCUMENTARY,Of Love & Law,0,Free Agent,DOCUMENTARY,Of Love & Law,,,
DOCUMENTARY,On Her Shoulders,0,Free Agent,DOCUMENTARY,On Her Shoulders,,,
DOCUMENTARY,On the Road to France,0,Free Agent,DOCUMENTARY,On the Road to France,,,
DOCUMENTARY,Opera About Poland,0,Free Agent,DOCUMENTARY,Opera About Poland,,,
DOCUMENTARY,Operation Odessa,0,Free Agent,DOCUMENTARY,Operation Odessa,,,
DOCUMENTARY,Our Blood Is Wine,0,Free Agent,DOCUMENTARY,Our Blood Is Wine,,,
DOCUMENTARY,Our New President,0,Free Agent,DOCUMENTARY,Our New President,,,
DOCUMENTARY,Pandas,0,Free Agent,DOCUMENTARY,Pandas,,,
DOCUMENTARY,Path of Blood,0,Free Agent,DOCUMENTARY,Path of Blood,,,
DOCUMENTARY,Pennywise: The Story of IT,0,Free Agent,DOCUMENTARY,Pennywise: The Story of IT,,,
DOCUMENTARY,People’s Republic of Desire,0,Free Agent,DOCUMENTARY,People’s Republic of Desire,,,
DOCUMENTARY,Pick of the Litter,0,Free Agent,DOCUMENTARY,Pick of the Litter,,,
DOCUMENTARY,Piripkura,0,Free Agent,DOCUMENTARY,Piripkura,,,
DOCUMENTARY,Police Killing,0,Free Agent,DOCUMENTARY,Police Killing,,,
DOCUMENTARY,Pope Francis – A Man of His Word,0,Free Agent,DOCUMENTARY,Pope Francis – A Man of His Word,,,
DOCUMENTARY,Qiu (Inmates),0,Free Agent,DOCUMENTARY,Qiu (Inmates),,,
DOCUMENTARY,Quincy,0,Free Agent,DOCUMENTARY,Quincy,,,
DOCUMENTARY,Ramen Heads,0,Free Agent,DOCUMENTARY,Ramen Heads,,,
DOCUMENTARY,Recovery Boys,0,Free Agent,DOCUMENTARY,Recovery Boys,,,
DOCUMENTARY,Restoring Tomorrow,0,Free Agent,DOCUMENTARY,Restoring Tomorrow,,,
DOCUMENTARY,Reversing Roe,0,Free Agent,DOCUMENTARY,Reversing Roe,,,
DOCUMENTARY,Robin Williams: Come Inside my Mind,0,Free Agent,DOCUMENTARY,Robin Williams: Come Inside my Mind,,,
DOCUMENTARY,Ryuichi Sakamoto: Coda,0,Free Agent,DOCUMENTARY,Ryuichi Sakamoto: Coda,,,
DOCUMENTARY,Sammy Davis Jr.: I've Gotta Be Me,0,Free Agent,DOCUMENTARY,Sammy Davis Jr.: I've Gotta Be Me,,,
DOCUMENTARY,Samouni Road,0,Free Agent,DOCUMENTARY,Samouni Road,,,
DOCUMENTARY,Saving Brinton,0,Free Agent,DOCUMENTARY,Saving Brinton,,,
DOCUMENTARY,Say Her Name: The Life and Death of Sandra Bland,0,Free Agent,DOCUMENTARY,Say Her Name: The Life and Death of Sandra Bland,,,
DOCUMENTARY,Science Fair,0,Free Agent,DOCUMENTARY,Science Fair,,,
DOCUMENTARY,Scotty and the Secret History of Hollywood,0,Free Agent,DOCUMENTARY,Scotty and the Secret History of Hollywood,,,
DOCUMENTARY,Searching for Ingmar Bergman,0,Free Agent,DOCUMENTARY,Searching for Ingmar Bergman,,,
DOCUMENTARY,Seeing Allred,0,Free Agent,DOCUMENTARY,Seeing Allred,,,
DOCUMENTARY,Shot in the Dark,0,Free Agent,DOCUMENTARY,Shot in the Dark,,,
DOCUMENTARY,Sisters of the Wilderness,0,Free Agent,DOCUMENTARY,Sisters of the Wilderness,,,
DOCUMENTARY,Songwriter,0,Free Agent,DOCUMENTARY,Songwriter,,,
DOCUMENTARY,Studio 54,0,Free Agent,DOCUMENTARY,Studio 54,,,
DOCUMENTARY,Summer in the Forest,0,Free Agent,DOCUMENTARY,Summer in the Forest,,,
DOCUMENTARY,Super Size Me 2: Holy Chicken,0,Free Agent,DOCUMENTARY,Super Size Me 2: Holy Chicken,,,
DOCUMENTARY,Take Your Pills,0,Free Agent,DOCUMENTARY,Take Your Pills,,,
DOCUMENTARY,Tea With the Dames,0,Free Agent,DOCUMENTARY,Tea With the Dames,,,
DOCUMENTARY,That Summer,0,Free Agent,DOCUMENTARY,That Summer,,,
DOCUMENTARY,That Way Madness Lies … ,0,Free Agent,DOCUMENTARY,That Way Madness Lies … ,,,
DOCUMENTARY,The Best Is Yet to Come,0,Free Agent,DOCUMENTARY,The Best Is Yet to Come,,,
DOCUMENTARY,The Biggest Little Farm,0,Free Agent,DOCUMENTARY,The Biggest Little Farm,,,
DOCUMENTARY,The Bleeding Edge,0,Free Agent,DOCUMENTARY,The Bleeding Edge,,,
DOCUMENTARY,The China Hustle,0,Free Agent,DOCUMENTARY,The China Hustle,,,
DOCUMENTARY,The Cleaners,0,Free Agent,DOCUMENTARY,The Cleaners,,,
DOCUMENTARY,The Dark Heart of Jason Voorhees: The Making of the Final Friday,0,Free Agent,DOCUMENTARY,The Dark Heart of Jason Voorhees: The Making of the Final Friday,,,
DOCUMENTARY,The Dawn Wall,0,Free Agent,DOCUMENTARY,The Dawn Wall,,,
DOCUMENTARY,The Devil and Father Amorth,0,Free Agent,DOCUMENTARY,The Devil and Father Amorth,,,
DOCUMENTARY,The Director and the Jedi,0,Free Agent,DOCUMENTARY,The Director and the Jedi,,,
DOCUMENTARY,The Distant Barking of Dogs,0,Free Agent,DOCUMENTARY,The Distant Barking of Dogs,,,
DOCUMENTARY,The Eyes of Orson Welles,0,Free Agent,DOCUMENTARY,The Eyes of Orson Welles,,,
DOCUMENTARY,The First Patient,0,Free Agent,DOCUMENTARY,The First Patient,,,
DOCUMENTARY,The Fourth Estate,0,Free Agent,DOCUMENTARY,The Fourth Estate,,,
DOCUMENTARY,The Gamechangers,0,Free Agent,DOCUMENTARY,The Gamechangers,,,
DOCUMENTARY,The Gilligan Manifesto,0,Free Agent,DOCUMENTARY,The Gilligan Manifesto,,,
DOCUMENTARY,The Gospel According to Andre,0,Free Agent,DOCUMENTARY,The Gospel According to Andre,,,
DOCUMENTARY,The Great Buster,0,Free Agent,DOCUMENTARY,The Great Buster,,,
DOCUMENTARY,The Great Buster: A Celebration,0,Free Agent,DOCUMENTARY,The Great Buster: A Celebration,,,
DOCUMENTARY,The Heart of Nuba,0,Free Agent,DOCUMENTARY,The Heart of Nuba,,,
DOCUMENTARY,The Homeless Chorus Speaks,0,Free Agent,DOCUMENTARY,The Homeless Chorus Speaks,,,
DOCUMENTARY,The Judge,0,Free Agent,DOCUMENTARY,The Judge,,,
DOCUMENTARY,The King,0,Free Agent,DOCUMENTARY,The King,,,
DOCUMENTARY,The Last Race,0,Free Agent,DOCUMENTARY,The Last Race,,,
DOCUMENTARY,The Most Unknown,0,Free Agent,DOCUMENTARY,The Most Unknown,,,
DOCUMENTARY,The Opera House,0,Free Agent,DOCUMENTARY,The Opera House,,,
DOCUMENTARY,The Oslo Diaries,0,Free Agent,DOCUMENTARY,The Oslo Diaries,,,
DOCUMENTARY,The Other Side of Everything,0,Free Agent,DOCUMENTARY,The Other Side of Everything,,,
DOCUMENTARY,The Panama Papers,0,Free Agent,DOCUMENTARY,The Panama Papers,,,
DOCUMENTARY,The Price of Everything,0,Free Agent,DOCUMENTARY,The Price of Everything,,,
DOCUMENTARY,The Price of Free,0,Free Agent,DOCUMENTARY,The Price of Free,,,
DOCUMENTARY,The Rachel Divide,0,Free Agent,DOCUMENTARY,The Rachel Divide,,,
DOCUMENTARY,The Raft,0,Free Agent,DOCUMENTARY,The Raft,,,
DOCUMENTARY,The Road Movie,0,Free Agent,DOCUMENTARY,The Road Movie,,,
DOCUMENTARY,The Sentence,0,Free Agent,DOCUMENTARY,The Sentence,,,
DOCUMENTARY,The Silence of Others,0,Free Agent,DOCUMENTARY,The Silence of Others,,,
DOCUMENTARY,The Staircase,0,Free Agent,DOCUMENTARY,The Staircase,,,
DOCUMENTARY,The State Against Mandela and the Others,0,Free Agent,DOCUMENTARY,The State Against Mandela and the Others,,,
DOCUMENTARY,The Trial,0,Free Agent,DOCUMENTARY,The Trial,,,
DOCUMENTARY,The Workers Cup,0,Free Agent,DOCUMENTARY,The Workers Cup,,,
DOCUMENTARY,The Zen Diaries of Garry Shandling,0,Free Agent,DOCUMENTARY,The Zen Diaries of Garry Shandling,,,
DOCUMENTARY,They'll Love Me When I'm Dead,0,Free Agent,DOCUMENTARY,They'll Love Me When I'm Dead,,,
DOCUMENTARY,This Is Congo,0,Free Agent,DOCUMENTARY,This Is Congo,,,
DOCUMENTARY,This Is Home: A Refugee Story,0,Free Agent,DOCUMENTARY,This Is Home: A Refugee Story,,,
DOCUMENTARY,Transformer,0,Free Agent,DOCUMENTARY,Transformer,,,
DOCUMENTARY,Transmilitary,0,Free Agent,DOCUMENTARY,Transmilitary,,,
DOCUMENTARY,Travel Ban,0,Free Agent,DOCUMENTARY,Travel Ban,,,
DOCUMENTARY,Triumph: The Untold Story of Perry Wallace,0,Free Agent,DOCUMENTARY,Triumph: The Untold Story of Perry Wallace,,,
DOCUMENTARY,Trust Machine,0,Free Agent,DOCUMENTARY,Trust Machine,,,
DOCUMENTARY,Under the Wire,0,Free Agent,DOCUMENTARY,Under the Wire,,,
DOCUMENTARY,United Skates,0,Free Agent,DOCUMENTARY,United Skates,,,
DOCUMENTARY,Up Down and Sideways,0,Free Agent,DOCUMENTARY,Up Down and Sideways,,,
DOCUMENTARY,We Could Be Heroes,0,Free Agent,DOCUMENTARY,We Could Be Heroes,,,
DOCUMENTARY,Weed the People,0,Free Agent,DOCUMENTARY,Weed the People,,,
DOCUMENTARY,Weinstein,0,Free Agent,DOCUMENTARY,Weinstein,,,
DOCUMENTARY,What Comes Around,0,Free Agent,DOCUMENTARY,What Comes Around,,,
DOCUMENTARY,What Haunts Us,0,Free Agent,DOCUMENTARY,What Haunts Us,,,
DOCUMENTARY,What Lies Upstream,0,Free Agent,DOCUMENTARY,What Lies Upstream,,,
DOCUMENTARY,Whitney,0,Free Agent,DOCUMENTARY,Whitney,,,
DOCUMENTARY,Wild Wild Country,0,Free Agent,DOCUMENTARY,Wild Wild Country,,,
DOCUMENTARY,XY Chelsea,0,Free Agent,DOCUMENTARY,XY Chelsea,,,
DOCUMENTARY,Yellowing,0,Free Agent,DOCUMENTARY,Yellowing,,,
Alex,Blatt,0,Free Agent,EDITOR,The Hate U Give,,,
Ian,Blume,0,Free Agent,EDITOR,Ben Is Back,,,
Konstantin,Bock,0,Free Agent,EDITOR,Capernaum,,,
Barry Alexander,Brown,0,Free Agent,EDITOR,BlacKkKlansman,,,
Justin,Chan,0,Free Agent,EDITOR,Monsters and Men,,,
Lisa Zeno,Churgin,0,Free Agent,EDITOR,The Old Man & the Gun,,,
Hank,Corwin,0,Free Agent,EDITOR,Vice,,,
Joel,Cox,0,Free Agent,EDITOR,Den of Thieves,The Mule,,
Scott,Cummings,0,Free Agent,EDITOR,Monsters and Men,,,
Mark,Day,0,Free Agent,EDITOR,Fantastic Beasts: The Crimes of Grindelwald,Kin,,
Una Ni,Dhonghaile,0,Free Agent,EDITOR,Stan & Ollie,,,
Chris,Dickens,0,Free Agent,EDITOR,Mary Queen of Scots,,,
Walter,Fasano,0,Free Agent,EDITOR,Suspiria,,,
Jeffrey,Ford,0,Free Agent,EDITOR,Avengers: Infinity War,,,
Louise,Ford,0,Free Agent,EDITOR,Wildlife,Siberia,,
Nicolas,Gaster,0,Free Agent,EDITOR,The Happy Prince,,,
Terel,Gibson,0,Free Agent,EDITOR,Sorry to Bother You,The Last Full Measure,,
William,Goldenberg,0,Free Agent,EDITOR,22-Jul,,,
Stefan,Grube,0,Free Agent,EDITOR,Tully,The Front Runner,,
Catherine,Haight,0,Free Agent,EDITOR,Puzzle,,,
Eddie,Hamilton,0,Free Agent,EDITOR,Mission: Impossible - Fallout,,,
Matthew,Hannam,0,Free Agent,EDITOR,Wildlife,Vox Lux,,
Craig,Hayes,0,Free Agent,EDITOR,The Hate U Give,,,
Nick,Houy,0,Free Agent,EDITOR,Mid90s,,,
Harry,Jierjian,0,Free Agent,EDITOR,Love Simon,,,
Lucian,Johnston,0,Free Agent,EDITOR,Hereditary,,,
Myron,Kerstein,0,Free Agent,EDITOR,Crazy Rich Asians,,,
Jennifer,Lame,0,Free Agent,EDITOR,Hereditary,,,
Lisa,Lassek,0,Free Agent,EDITOR,12 Strong,Bad Times at the El Royale,,
Ben,Lester,0,Free Agent,EDITOR,Bird Box,,,
Nico,Leunen,0,Free Agent,EDITOR,Beautiful Boy,Skate Kitchen,,
Jennifer,Lilly,0,Free Agent,EDITOR,Eighth Grade,,,
David,Marks,0,Free Agent,EDITOR,Don't Worry He Won't Get Far on Foot,,,
Yorgos,Mavropsaridis,0,Free Agent,EDITOR,The Favourite,,,
Tom,McArdle,0,Free Agent,EDITOR,What They Had,,,
Anne,McCabe,0,Free Agent,EDITOR,Can You Ever Forgive Me?,,,
Joi,McMillon,0,Free Agent,EDITOR,If Beale Street Could Talk,,,
Bob,Murawski,0,Free Agent,EDITOR,The Other Side of the Wind,,,
Nathan,Nugent,0,Free Agent,EDITOR,Disobedience,The Little Stranger,,
Jeremiah,O'Driscoll,0,Free Agent,EDITOR,Welcome to Marwen,,,
Alex,O'Flinn,0,Free Agent,EDITOR,The Rider,,,
Julio,Perez IV,0,Free Agent,EDITOR,Under the Silver Lake,,,
Barney,Pilling,0,Free Agent,EDITOR,Annihilation,,,
Jay,Rabinowitz,0,Free Agent,EDITOR,Boy Erased,,,
Jane,Rizzo,0,Free Agent,EDITOR,Leave No Trace,,,
Benjamin,Rodriguez Jr.,0,Free Agent,EDITOR,First Reformed,,,
Lena,Runge,0,Free Agent,EDITOR,The Wife,,,
Hayedeh,Safiyari,0,Free Agent,EDITOR,Everybody Knows,,,
Nat,Sanders,0,Free Agent,EDITOR,If Beale Street Could Talk,,,
Matthew,Schmidt,0,Free Agent,EDITOR,Avengers: Infinity War,,,
Michael P.,Shawver,0,Free Agent,EDITOR,Black Panther,,,
Wyatt,Smith,0,Free Agent,EDITOR,Mary Poppins Returns,,,
Billy,Sneddon,0,Free Agent,EDITOR,Stan & Ollie,,,
Michelle,Tesoro,0,Free Agent,EDITOR,On the Basis of Sex,,,
Plummy,Tucker,0,Free Agent,EDITOR,Destroyer,,,
Patrick J. Don,Vito,0,Free Agent,EDITOR,Green Book,,,
Joe,Walker,0,Free Agent,EDITOR,Widows,,,
Juliette,Welfling,0,Free Agent,EDITOR,The Sisters Brothers,Ocean's Eight,,
Chris,Wyatt,0,Free Agent,EDITOR,White Boy Rick,Calibre,,
Lucia,Zucchetti,0,Free Agent,EDITOR,Woman Walks Ahead,Colette,,
John,Ottman,0,Free Agent,EDITOR SCORE,Bohemian Rhapsody,,,
FOREIGN,10 Days Before the Wedding,0,Free Agent,FOREIGN,10 Days Before the Wedding,,,
FOREIGN,A Son of Man,0,Free Agent,FOREIGN,A Son of Man,,,
FOREIGN,A Twelve-Year Night,0,Free Agent,FOREIGN,A Twelve-Year Night,,,
FOREIGN,Ayka,0,Free Agent,FOREIGN,Ayka,,,
FOREIGN,Beauty and the Dogs,0,Free Agent,FOREIGN,Beauty and the Dogs,,,
FOREIGN,Birds of Passage,0,Free Agent,FOREIGN,Birds of Passage,,,
FOREIGN,Border,0,Free Agent,FOREIGN,Border,,,
FOREIGN,Buffalo Boys,0,Free Agent,FOREIGN,Buffalo Boys,,,
FOREIGN,Burning,0,Free Agent,FOREIGN,Burning,,,
FOREIGN,Burnout,0,Free Agent,FOREIGN,Burnout,,,
FOREIGN,Cake,0,Free Agent,FOREIGN,Cake,,,
FOREIGN,Champions,0,Free Agent,FOREIGN,Champions,,,
FOREIGN,Chien de garde,0,Free Agent,FOREIGN,Chien de garde,,,
FOREIGN,Co Ba Sai Gon,0,Free Agent,FOREIGN,Co Ba Sai Gon,,,
FOREIGN,Cocote,0,Free Agent,FOREIGN,Cocote,,,
FOREIGN,Cold War,0,Free Agent,FOREIGN,Cold War,,,
FOREIGN,Crystal Swan,0,Free Agent,FOREIGN,Crystal Swan,,,
FOREIGN,Dogman,0,Free Agent,FOREIGN,Dogman,,,
FOREIGN,Donbass,0,Free Agent,FOREIGN,Donbass,,,
FOREIGN,El Angel,0,Free Agent,FOREIGN,El Angel,,,
FOREIGN,Eldorado,0,Free Agent,FOREIGN,Eldorado,,,
FOREIGN,Eternity,0,Free Agent,FOREIGN,Eternity,,,
FOREIGN,Euthanizer,0,Free Agent,FOREIGN,Euthanizer,,,
FOREIGN,Everybody Knows,0,Free Agent,FOREIGN,Everybody Knows,,,
FOREIGN,Ghost Hunting,0,Free Agent,FOREIGN,Ghost Hunting,,,
FOREIGN,Girl,0,Free Agent,FOREIGN,Girl,,,
FOREIGN,Graves Without a Name,0,Free Agent,FOREIGN,Graves Without a Name,,,
FOREIGN,Gutland,0,Free Agent,FOREIGN,Gutland,,,
